O,decay,MAE
0,0.4,2.1847130591125197
1,0.45,2.2272539200857633
2,0.5,2.268237678372936
3,0.55,2.3079679592324407
4,0.6,2.3472979587974994
5,0.65,2.385030522568527
6,0.7,2.4218861852044107
7,0.75,2.4567383161757608
8,0.8,2.4896244388193396
9,0.85,2.5208690253329924
10,0.9,2.550156621449087
