,decay,MAE
0,0.4,0.7618288953357516
1,0.45,0.7810312087768589
2,0.5,0.800157776261769
3,0.55,0.8192383915171051
4,0.6,0.8381427349066388
5,0.65,0.8566367023841225
6,0.7,0.8747460260528864
7,0.75,0.8921516347763532
8,0.8,0.9088242872179937
9,0.85,0.9248220883394721
10,0.9,0.9400770824827245
