player_id,web_name,position,XP,EEO,Price
151,Van Hecke,DEF,7.950081972822549,52.9,47
5,Gabriel,DEF,7.326861444706062,106.8,73
500,Osula,FWD,6.944117647058823,0.2,55
119,Mbeumo,MID,6.770049923007045,0.3,83
517,Anderson,MID,6.710056524984762,2.8,56
316,Robinson,DEF,6.649074735678363,0.1,49
145,De Cuyper,DEF,6.46910110146519,0.3,43
291,Tarkowski,DEF,6.114069548351105,8.1,58
488,Bruno G.,MID,6.050362656841155,6.5,69
475,Botman,DEF,5.885043777667178,0.3,49
6,Saliba,DEF,5.7638099741178275,24.1,63
148,F.Kadıoğlu,DEF,5.70243491399902,2.3,45
1,Raya,GK,5.628111444706063,30.0,62
606,Mavropanos,DEF,5.571333573945735,0.6,45
16,Saka,MID,5.451193231706409,123.5,100
373,Virgil,DEF,5.405686059947085,5.6,60
341,Darlow,GK,5.32691729493954,15.4,40
163,Hinshelwood,MID,5.198836142052516,6.6,52
293,O'Brien,DEF,5.148311711019244,0.1,49
684,Thiaw,DEF,4.931587895314237,1.4,49
83,O.Dango,MID,4.852556801054313,2.0,56
344,Bijol,DEF,4.828693131603209,1.3,39
691,Calvert-Lewin,FWD,4.734963235294117,55.1,58
783,Groß,MID,4.66521350791152,41.4,56
387,Szoboszlai,MID,4.599620044398536,8.6,70
139,Verbruggen,GK,4.574861384587256,50.0,46
442,Maguire,DEF,4.405970267747785,0.9,44
694,Mukiele,DEF,4.4019950585340215,1.7,46
668,Xhaka,MID,4.388504279339387,0.1,51
449,B.Fernandes,MID,4.322095508113417,120.8,104
64,Watkins,FWD,4.319316176470589,3.3,87
7,Calafiori,DEF,4.25431728860227,0.4,56
679,Hermansen,GK,4.254068868063382,0.1,42
20,Trossard,MID,4.237330269589644,7.1,66
670,Roefs,GK,4.205120058534021,0.4,48
603,Diouf,DEF,4.142691752527245,0.1,41
267,Sarr,MID,4.104950372521445,2.9,64
21,Rice,MID,4.033883886947943,12.1,72
