player_id,web_name,position,XP,EEO,Price
151,Van Hecke,DEF,7.950081972822549,59.8,47
5,Gabriel,DEF,7.356962341715576,105.6,73
500,Osula,FWD,6.944117647058823,0.2,55
119,Mbeumo,MID,6.770049923007045,0.3,83
517,Anderson,MID,6.710056524984762,2.3,56
316,Robinson,DEF,6.649074735678363,0.1,49
145,De Cuyper,DEF,6.46910110146519,0.2,43
291,Tarkowski,DEF,6.114069548351105,8.3,58
191,Estève,DEF,6.113645513248125,0.1,38
488,Bruno G.,MID,6.050362656841155,6.3,69
475,Botman,DEF,5.885043777667178,0.3,49
6,Saliba,DEF,5.793910871127341,25.0,63
237,Enzo,MID,5.776815072428812,7.0,64
16,Saka,MID,5.752836103017612,120.3,100
597,Richarlison,FWD,5.722941176470588,1.2,64
568,Pedro Porro,DEF,5.715211913824569,1.4,52
148,F.Kadıoğlu,DEF,5.70243491399902,2.9,45
1,Raya,GK,5.658212341715576,29.0,62
634,Mosquera,DEF,5.642495540297192,0.1,43
606,Mavropanos,DEF,5.571333573945735,0.3,45
430,Haaland,FWD,5.4624999999999995,113.4,147
547,E.Le Fée,MID,5.449533691104094,0.2,48
373,Virgil,DEF,5.405686059947085,6.4,60
341,Darlow,GK,5.32691729493954,15.5,40
74,Truffert,DEF,5.226647314806869,1.6,47
7,Calafiori,DEF,5.203535832670607,0.4,56
163,Hinshelwood,MID,5.198836142052516,6.2,52
293,O'Brien,DEF,5.148311711019244,0.1,49
684,Thiaw,DEF,4.931587895314237,1.3,49
72,Senesi,DEF,4.929257608924517,10.1,52
83,O.Dango,MID,4.852556801054313,2.2,56
344,Bijol,DEF,4.828693131603209,1.4,39
691,Calvert-Lewin,FWD,4.734963235294117,62.0,58
783,Groß,MID,4.66521350791152,44.0,56
387,Szoboszlai,MID,4.599620044398536,8.1,70
100,Kroupi.Jr,FWD,4.577794117647058,0.6,46
139,Verbruggen,GK,4.574861384587256,50.8,46
77,Hill,DEF,4.485801726571575,4.3,42
736,Donnarumma,GK,4.470490154178569,1.3,56
442,Maguire,DEF,4.405970267747785,0.9,44
694,Mukiele,DEF,4.4019950585340215,1.9,46
668,Xhaka,MID,4.388504279339387,0.2,51
411,O'Reilly,DEF,4.360250824363581,86.9,53
449,B.Fernandes,MID,4.322095508113417,119.5,104
64,Watkins,FWD,4.319316176470589,2.9,87
20,Trossard,MID,4.221877552665552,7.4,66
260,Guéhi,DEF,4.22174015417857,7.4,51
670,Roefs,GK,4.205120058534021,0.5,48
807,Rayan,MID,4.183143339979122,1.6,54
603,Diouf,DEF,4.142691752527245,0.1,41
267,Sarr,MID,4.104950372521445,3.5,64
21,Rice,MID,4.041409111200322,12.1,72
450,Cunha,MID,4.006337370658299,1.5,81
515,Gibbs-White,MID,4.001296132967167,1.2,75
90,Scott,MID,3.9859631420442416,0.6,49
160,Minteh,MID,3.975342501335889,1.2,55
575,Van de Ven,DEF,3.9672707373539815,0.2,44
384,Gakpo,MID,3.9455284897739116,0.3,73
418,Doku,MID,3.9420579702557417,2.4,65
314,Leno,GK,3.939007826561205,0.2,50
266,Eze,MID,3.9048978022388363,1.7,73
299,Ndiaye,MID,3.883719592970129,8.8,63
319,Castagne,DEF,3.86394277891329,0.2,43
30,Havertz,FWD,3.8536029411764705,0.1,73
354,Ampadu,MID,3.853255059029002,0.6,49
242,Dewsbury-Hall,MID,3.8520082568412572,15.7,53
706,Justin,DEF,3.807983471410128,1.8,40
295,Keane,DEF,3.7861283718805163,7.4,45
615,Summerville,MID,3.772093443444881,0.1,54
502,Sels,GK,3.728193557289163,0.2,46
287,Pickford,GK,3.7144371954099276,1.5,56
