player_id,web_name,position,XP,Price
419,Grealish,MID,2.425823986737155,63
101,Kelleher,GK,2.42391000481023,48
569,Romero,DEF,2.399294699190155,50
299,Ndiaye,MID,2.3788253527239056,63
310,Barry,FWD,2.363176470588235,57
668,Xhaka,MID,2.362481818246534,51
624,Bowen,FWD,2.3575882352941178,77
726,Kolo Muani,FWD,2.332610294117647,69
86,Brooks,MID,2.3064764841733587,50
232,Tosin,DEF,2.304084287959347,40
121,Damsgaard,MID,2.3001525288830966,56
541,Reinildo,DEF,2.2906037435743714,38
210,Tchaouna,MID,2.2855412941515056,48
723,Canvot,DEF,2.2854928837862825,45
491,Tonali,MID,2.246799883893639,53
662,Mosquera,DEF,2.23592793250433,53
124,Henderson,MID,2.2179480894378516,50
330,Berge,MID,2.217531832129235,49
372,Robertson,DEF,2.1808862956531874,57
200,Anthony,MID,2.171164604384203,50
303,Garner,MID,2.1312727036286248,52
735,Traoré,MID,2.1262390899072585,55
88,Cook,MID,2.1149758575627797,49
613,Souček,MID,2.0997058823529406,57
552,Sadiki,MID,2.0993641711877102,49
623,Potts,MID,2.0911852507041564,43
588,Odobert,MID,2.0638639139585586,53
597,Richarlison,FWD,2.055330882352941,64
293,O'Brien,DEF,2.0528037313191607,49
388,C.Jones,MID,2.0511018682405777,54
685,Diakité,DEF,2.0443324778665164,41
469,Pope,GK,2.0373833591039694,50
120,Schade,MID,2.000860923613671,68
644,Bellegarde,MID,1.9653570027055427,51
731,Kevin,MID,1.940488960522103,57
272,Lerma,MID,1.9299616157146489,49
73,Smith,DEF,1.9277467130739008,44
634,Mosquera,DEF,1.9249186631476938,43
674,Ramsdale,GK,1.9238542114375838,48
486,Elanga,MID,1.895896380252334,65
50,Buendía,MID,1.8849765732730874,53
612,L.Paquetá,MID,1.883883782053812,59
489,J.Murphy,MID,1.8832530276642416,59
335,King,MID,1.8352825490724918,44
474,Schär,DEF,1.8260036396049697,52
676,Ugochukwu,MID,1.8156094666901685,50
717,Xavi,MID,1.8080179696582257,63
64,Watkins,FWD,1.774470588235294,87
698,Okafor,MID,1.7429070370196975,55
532,Hume,DEF,1.7399895457465924,45
241,Caicedo,MID,1.732446790565471,57
519,Dominguez,MID,1.7292417510273326,50
98,Enes Ünal,FWD,1.7068014705882348,54
284,Nketiah,FWD,1.6919117647058826,54
356,Gruev,MID,1.6889012878646863,47
5,Gabriel,DEF,1.6840353394668806,73
573,Spence,DEF,1.6537512619433186,41
493,Longstaff,MID,1.647048136151238,48
724,Geertruida,DEF,1.640627002213211,45
593,P.M.Sarr,MID,1.6008369535509612,45
661,Ekitiké,FWD,1.5688235294117647,90
